Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	ID	POST
244	Spectrogram 1	1	3197.873060186	3198.531901303	1955.400	2294.100	D	
253	Spectrogram 1	1	3232.795660442	3233.454501559	1955.400	2294.100	D	
265	Spectrogram 1	1	3279.165629000	3279.824470117	1955.400	2294.100	D	
270	Spectrogram 1	1	3298.205876480	3298.864717597	1955.400	2294.100	D	
280	Spectrogram 1	1	3335.148600554	3335.807441671	1955.400	2294.100	D	
290	Spectrogram 1	1	3373.972129562	3374.630970679	1955.400	2294.100	D	
300	Spectrogram 1	1	3409.219807214	3409.878648331	1955.400	2294.100	D	
310	Spectrogram 1	1	3448.252314548	3448.911155665	1955.400	2294.100	D	
318	Spectrogram 1	1	3476.928784838	3477.587625955	1955.400	2294.100	D	
332	Spectrogram 1	1	3528.291013406	3528.949854523	1955.400	2294.100	D	
342	Spectrogram 1	1	3566.603706506	3567.262547623	1955.400	2294.100	D	
353	Spectrogram 1	1	3607.191941378	3607.850782495	1955.400	2294.100	D	
355	Spectrogram 1	1	3620.032498520	3620.691339637	1955.400	2294.100	D	
361	Spectrogram 1	1	3647.547978110	3648.206819227	1955.400	2294.100	D	
368	Spectrogram 1	1	3676.479866354	3677.138707471	1955.400	2294.100	D	
382	Spectrogram 1	1	3726.959741990	3727.618583107	1955.400	2294.100	D	
394	Spectrogram 1	1	3787.308038576	3787.966879693	1955.400	2294.100	D	
404	Spectrogram 1	1	3832.331257922	3832.990099039	1955.400	2294.100	D	
414	Spectrogram 1	1	3873.244570190	3873.903411307	1955.400	2294.100	D	
424	Spectrogram 1	1	3908.515467656	3909.174308773	1955.400	2294.100	D	
432	Spectrogram 1	1	3939.792557114	3940.451398231	1955.400	2294.100	D	
440	Spectrogram 1	1	3971.557262666	3972.216103783	1955.400	2294.100	D	
445	Spectrogram 1	1	3987.486055070	3988.144896187	1955.400	2294.100	D	
453	Spectrogram 1	1	4017.973670852	4018.632511969	1955.400	2294.100	D	
461	Spectrogram 1	1	4047.091317608	4047.750158725	1955.400	2294.100	D	
470	Spectrogram 1	1	4082.640852842	4083.299693959	1955.400	2294.100	D	
483	Spectrogram 1	1	4135.442709878	4136.101550995	1955.400	2294.100	D	
490	Spectrogram 1	1	4169.970573296	4170.629414413	1955.400	2294.100	D	
499	Spectrogram 1	1	4212.253854590	4212.912695707	1955.400	2294.100	D	
519	Spectrogram 1	1	4288.461284138	4289.120125255	1955.400	2294.100	D	
527	Spectrogram 1	1	4332.207413714	4332.866254831	1955.400	2294.100	D	
535	Spectrogram 1	1	4375.791004592	4376.449845709	1955.400	2294.100	D	
541	Spectrogram 1	1	4404.931871162	4405.590712279	1955.400	2294.100	D	
