BirdID,RecA Time,RecA End,nsk
power2,3860.6037472108414,3862.2376699066035,1
power2,3863.623895892139,3864.876768479639,1
power2,3865.993551011311,3867.558656724811,1
power2,3868.9904677796753,3869.9776939166754,1
power2,3871.406586724713,3872.9569642411298,1
power2,3875.2398523586676,3876.4672463465768,1
power2,3877.655971303706,3878.8743632771057,1
power2,3880.3276412910072,3881.7992566196435,1
power2,3883.115470842974,3884.425080456974,1
power2,3886.2285471760038,3887.862469871766,1
power2,3888.9699129021046,3890.2227854896046,1
power2,3891.4557275859415,3892.8449635777747,1
power2,3894.080933747377,3895.49856516165,1
power2,3897.170778167474,3898.389170140874,1
power2,3900.3303183263697,3901.8806958427863,1
power2,3903.4666265723326,3904.4538527093328,1
power2,3905.6968902139056,3907.168505542542,1
power2,3909.7392430642576,3911.0488526782574,1
power2,3912.4806087903585,3914.1145314861205,1
power2,3915.5704532104555,3916.8233257979555,1
power2,3917.8471806778953,3919.4122863913954,1
power2,3920.890561272126,3922.117955260035,1
power2,3923.4693036076947,3924.8328198268946,1
power2,3927.3490330675154,3928.766664481788,1
power2,3930.717660442809,3931.936052416209,1
power2,3933.1802432137133,3934.73062073013,1
power2,3936.061000417412,3937.048226554412,1
power2,3938.3144959719184,3939.9484186676805,1
power2,3941.4740361308145,3942.7014301187237,1
power2,3944.308329508647,3945.7799448372834,1
power2,3947.282014364079,3948.5916239780786,1
power2,3949.930452438447,3951.157846426356,1
power2,3952.393035209351,3953.9434127257678,1
power2,3955.5990391941136,3956.8519117816136,1
power2,3957.945462400352,3959.363093814625,1
power2,3960.686828126453,3961.9052200998526,1
power2,3963.3352662008215,3964.9003719143216,1
power2,3966.1463276657214,3967.3737216536306,1
power2,3968.79476574009,3970.10437535409,1
power2,3971.1179570333957,3972.7518797291577,1
power2,3973.8825546724297,3975.1354272599297,1
power2,3976.856239527861,3978.327854856497,1
power2,3979.783460557426,3980.7706866944263,1
power2,3982.2228114153972,3983.773188931814,1
power2,3985.8237579200213,3987.042149893421,1
power2,3988.4257321685236,3990.0596548642857,1
power2,3992.003446760214,3993.2308407481232,1
power2,3994.651884834583,3996.2169905480832,1
power2,3997.2770909960186,3998.5867006100184,1
power2,4000.529558806646,4001.947190220919,1
power2,4003.7587947043417,4005.230410032978,1
power2,4006.7092476468397,4007.9621202343396,1
